doc_id,objection_type,doc_type,title,content
20,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 20),Recommended play: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
21,need_more_features,case_study,Healthcare SaaS Case Study (variant 21),"Recommended play: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
22,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 22),Field-tested approach: Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
23,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 23),Recommended play: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
24,need_more_features,case_study,Healthcare SaaS Case Study (variant 24),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
25,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 25),"Recommended play: A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
26,need_more_features,case_study,Healthcare SaaS Case Study (variant 26),"What works: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
27,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 27),"In practice, Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough."
28,not_a_priority_now,case_study,Logistics Company Case Study (variant 28),Field-tested approach: A logistics company deprioritized us for 2 quarters; a quarterly check-in with updated cost-of-inaction math eventually reopened the deal.
29,need_more_features,case_study,Healthcare SaaS Case Study (variant 29),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
30,need_stakeholder_buyin,case_study,Enterprise IT Case Study (variant 30),Field-tested approach: Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
31,implementation_time_concern,battlecard,Fast-Start Implementation Battlecard (variant 31),"Field-tested approach: Offer the white-glove fast-start package: dedicated implementation manager, 2-week go-live target, with the customer's data migrated in the first week."
32,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 32),What works: Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours.
33,need_stakeholder_buyin,case_study,Enterprise IT Case Study (variant 33),Field-tested approach: Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
34,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 34),What works: Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
35,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 35),"In practice, Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours."
36,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 36),"Field-tested approach: A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
37,need_more_features,case_study,Healthcare SaaS Case Study (variant 37),"Recommended play: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
38,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 38),"Field-tested approach: A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
39,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 39),What works: Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours.
40,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 40),"Field-tested approach: A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
41,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 41),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
42,security_compliance_concern,case_study,Financial Services Case Study (variant 42),Recommended play: A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3.
43,not_a_priority_now,case_study,Logistics Company Case Study (variant 43),Recommended play: A logistics company deprioritized us for 2 quarters; a quarterly check-in with updated cost-of-inaction math eventually reopened the deal.
44,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 44),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
45,no_budget,battlecard,Budget-Cycle Timing Battlecard (variant 45),"Recommended play: Ask which fiscal quarter budget resets, and offer a start-now-pay-later contract structure tied to their next budget cycle. Anchor to the cost of inaction over that gap."
46,implementation_time_concern,battlecard,Fast-Start Implementation Battlecard (variant 46),"In practice, Offer the white-glove fast-start package: dedicated implementation manager, 2-week go-live target, with the customer's data migrated in the first week."
47,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 47),"In practice, A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
48,price_too_high,battlecard,ROI Reframe Battlecard (variant 48),Field-tested approach: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
49,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 49),"In practice, Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough."
50,security_compliance_concern,case_study,Financial Services Case Study (variant 50),"In practice, A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3."
51,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 51),Field-tested approach: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
52,not_a_priority_now,case_study,Logistics Company Case Study (variant 52),Recommended play: A logistics company deprioritized us for 2 quarters; a quarterly check-in with updated cost-of-inaction math eventually reopened the deal.
53,already_using_competitor,battlecard,Competitive Displacement Battlecard (variant 53),"Field-tested approach: Lead with the specific 3 capabilities competitors structurally lack (real-time sync, audit trail, native SSO) rather than an all-out feature comparison; offer a parallel-run pilot."
54,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 54),What works: Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
55,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 55),What works: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
56,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 56),Field-tested approach: Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours.
57,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 57),"In practice, A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package."
58,need_stakeholder_buyin,case_study,Enterprise IT Case Study (variant 58),Recommended play: Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
59,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 59),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
60,need_more_features,case_study,Healthcare SaaS Case Study (variant 60),"What works: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
61,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 61),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
62,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 62),"Field-tested approach: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
63,implementation_time_concern,battlecard,Fast-Start Implementation Battlecard (variant 63),"What works: Offer the white-glove fast-start package: dedicated implementation manager, 2-week go-live target, with the customer's data migrated in the first week."
64,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 64),"Recommended play: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
65,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 65),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
66,security_compliance_concern,case_study,Financial Services Case Study (variant 66),Recommended play: A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3.
67,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 67),What works: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
68,need_more_features,case_study,Healthcare SaaS Case Study (variant 68),"What works: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
69,no_budget,battlecard,Budget-Cycle Timing Battlecard (variant 69),"Field-tested approach: Ask which fiscal quarter budget resets, and offer a start-now-pay-later contract structure tied to their next budget cycle. Anchor to the cost of inaction over that gap."
70,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 70),"In practice, Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand."
71,need_stakeholder_buyin,case_study,Enterprise IT Case Study (variant 71),Field-tested approach: Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
72,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 72),"What works: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
73,need_more_features,case_study,Healthcare SaaS Case Study (variant 73),"In practice, A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
74,no_budget,battlecard,Budget-Cycle Timing Battlecard (variant 74),"What works: Ask which fiscal quarter budget resets, and offer a start-now-pay-later contract structure tied to their next budget cycle. Anchor to the cost of inaction over that gap."
75,need_more_features,case_study,Healthcare SaaS Case Study (variant 75),"Recommended play: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
76,price_too_high,battlecard,ROI Reframe Battlecard (variant 76),Recommended play: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
77,security_compliance_concern,case_study,Financial Services Case Study (variant 77),"In practice, A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3."
78,implementation_time_concern,battlecard,Fast-Start Implementation Battlecard (variant 78),"In practice, Offer the white-glove fast-start package: dedicated implementation manager, 2-week go-live target, with the customer's data migrated in the first week."
79,need_more_features,case_study,Healthcare SaaS Case Study (variant 79),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
80,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 80),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
81,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 81),Field-tested approach: Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours.
82,no_budget,case_study,Series B Startup Case Study (variant 82),Field-tested approach: A cash-constrained Series B startup deferred payment 60 days by aligning the contract start date to their upcoming funding close.
83,need_more_features,case_study,Healthcare SaaS Case Study (variant 83),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
84,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 84),Recommended play: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
85,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 85),Field-tested approach: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
86,price_too_high,battlecard,ROI Reframe Battlecard (variant 86),Recommended play: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
87,price_too_high,battlecard,ROI Reframe Battlecard (variant 87),Field-tested approach: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
88,no_budget,case_study,Series B Startup Case Study (variant 88),What works: A cash-constrained Series B startup deferred payment 60 days by aligning the contract start date to their upcoming funding close.
89,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 89),What works: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
90,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 90),"Recommended play: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
91,already_using_competitor,battlecard,Competitive Displacement Battlecard (variant 91),"Recommended play: Lead with the specific 3 capabilities competitors structurally lack (real-time sync, audit trail, native SSO) rather than an all-out feature comparison; offer a parallel-run pilot."
92,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 92),"Field-tested approach: A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
93,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 93),"Recommended play: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
94,need_more_features,case_study,Healthcare SaaS Case Study (variant 94),"What works: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
95,need_more_features,case_study,Healthcare SaaS Case Study (variant 95),"In practice, A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
96,security_compliance_concern,case_study,Financial Services Case Study (variant 96),"In practice, A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3."
97,already_using_competitor,battlecard,Competitive Displacement Battlecard (variant 97),"Field-tested approach: Lead with the specific 3 capabilities competitors structurally lack (real-time sync, audit trail, native SSO) rather than an all-out feature comparison; offer a parallel-run pilot."
98,price_too_high,battlecard,ROI Reframe Battlecard (variant 98),Field-tested approach: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
99,security_compliance_concern,case_study,Financial Services Case Study (variant 99),What works: A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3.
100,already_using_competitor,battlecard,Competitive Displacement Battlecard (variant 100),"Field-tested approach: Lead with the specific 3 capabilities competitors structurally lack (real-time sync, audit trail, native SSO) rather than an all-out feature comparison; offer a parallel-run pilot."
101,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 101),What works: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
102,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 102),Recommended play: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
103,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 103),What works: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
104,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 104),Field-tested approach: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
105,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 105),Recommended play: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
106,price_too_high,battlecard,ROI Reframe Battlecard (variant 106),What works: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
107,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 107),"In practice, Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours."
108,need_stakeholder_buyin,case_study,Enterprise IT Case Study (variant 108),Field-tested approach: Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
109,already_using_competitor,battlecard,Competitive Displacement Battlecard (variant 109),"Recommended play: Lead with the specific 3 capabilities competitors structurally lack (real-time sync, audit trail, native SSO) rather than an all-out feature comparison; offer a parallel-run pilot."
110,need_stakeholder_buyin,case_study,Enterprise IT Case Study (variant 110),Field-tested approach: Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
111,no_budget,case_study,Series B Startup Case Study (variant 111),What works: A cash-constrained Series B startup deferred payment 60 days by aligning the contract start date to their upcoming funding close.
112,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 112),"What works: A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
113,security_compliance_concern,case_study,Financial Services Case Study (variant 113),Recommended play: A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3.
114,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 114),"In practice, A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss."
115,security_compliance_concern,case_study,Financial Services Case Study (variant 115),Field-tested approach: A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3.
116,not_a_priority_now,case_study,Logistics Company Case Study (variant 116),Field-tested approach: A logistics company deprioritized us for 2 quarters; a quarterly check-in with updated cost-of-inaction math eventually reopened the deal.
117,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 117),Recommended play: Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
118,price_too_high,battlecard,ROI Reframe Battlecard (variant 118),Field-tested approach: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
119,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 119),"In practice, Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
120,no_budget,battlecard,Budget-Cycle Timing Battlecard (variant 120),"Recommended play: Ask which fiscal quarter budget resets, and offer a start-now-pay-later contract structure tied to their next budget cycle. Anchor to the cost of inaction over that gap."
121,need_more_features,case_study,Healthcare SaaS Case Study (variant 121),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
122,implementation_time_concern,case_study,Multi-Site Retailer Case Study (variant 122),Field-tested approach: A 40-location retailer worried about a slow rollout went live at all sites in 12 days using the fast-start package.
123,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 123),"Field-tested approach: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
124,need_more_features,case_study,Healthcare SaaS Case Study (variant 124),"What works: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
125,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 125),Field-tested approach: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
126,price_too_high,battlecard,ROI Reframe Battlecard (variant 126),Recommended play: Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted.
127,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 127),"In practice, Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
128,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 128),What works: Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
129,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 129),What works: Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
130,need_more_features,case_study,Healthcare SaaS Case Study (variant 130),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
131,security_compliance_concern,case_study,Financial Services Case Study (variant 131),What works: A bank's security review was the long pole; providing a pre-filled CAIQ questionnaire cut their review time from 8 weeks to 3.
132,need_stakeholder_buyin,case_study,Enterprise IT Case Study (variant 132),Recommended play: Co-presenting directly to the CFO (rather than routing through the IT champion) cut the buy-in cycle from 6 weeks to 10 days.
133,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 133),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
134,need_more_features,case_study,Healthcare SaaS Case Study (variant 134),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
135,already_using_competitor,battlecard,Competitive Displacement Battlecard (variant 135),"Recommended play: Lead with the specific 3 capabilities competitors structurally lack (real-time sync, audit trail, native SSO) rather than an all-out feature comparison; offer a parallel-run pilot."
136,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 136),Field-tested approach: Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand.
137,not_a_priority_now,case_study,Logistics Company Case Study (variant 137),Recommended play: A logistics company deprioritized us for 2 quarters; a quarterly check-in with updated cost-of-inaction math eventually reopened the deal.
138,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 138),Field-tested approach: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
139,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 139),What works: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
140,need_more_features,battlecard,Roadmap Alignment Battlecard (variant 140),Recommended play: Share the public roadmap and offer a signed feature-commitment letter for anything landing within 2 quarters; loop in product management for a live Q&A if the deal is large enough.
141,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 141),"Field-tested approach: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
142,security_compliance_concern,battlecard,Security & Compliance Battlecard (variant 142),Field-tested approach: Lead with the SOC 2 Type II report and a pre-filled security questionnaire; offer a direct call between their security team and ours.
143,not_a_priority_now,battlecard,Cost-of-Inaction Battlecard (variant 143),"Recommended play: Quantify the compounding cost of delay (e.g., manual-process hours accumulating monthly) rather than pushing urgency artificially; offer a low-commitment pilot to keep momentum."
144,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 144),What works: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
145,need_stakeholder_buyin,battlecard,Multi-Threading Battlecard (variant 145),"In practice, Offer to co-present a short business-case deck directly to the additional stakeholder rather than relying on your champion to relay it secondhand."
146,price_too_high,battlecard,ROI Reframe Battlecard (variant 146),"In practice, Reframe cost as ROI: quantify hours saved per week times fully-loaded hourly rate. Most customers break even within 4-6 months once the automation offsets are counted."
147,need_more_features,case_study,Healthcare SaaS Case Study (variant 147),"Field-tested approach: A healthcare buyer needed HL7 export, which shipped 6 weeks after signing per a committed roadmap letter — deal closed on the strength of the written commitment."
148,not_a_priority_now,case_study,Logistics Company Case Study (variant 148),"In practice, A logistics company deprioritized us for 2 quarters; a quarterly check-in with updated cost-of-inaction math eventually reopened the deal."
149,no_budget,case_study,Series B Startup Case Study (variant 149),What works: A cash-constrained Series B startup deferred payment 60 days by aligning the contract start date to their upcoming funding close.
150,price_too_high,case_study,Mid-Market Manufacturer Case Study (variant 150),"Recommended play: A 200-employee manufacturer initially balked at price, but after a 2-week pilot showing 11 hours/week saved per team, they signed a 3-year contract at list price."
151,already_using_competitor,case_study,Retail Chain Displacement Case Study (variant 151),What works: A retail chain ran us in parallel with their incumbent for 30 days; the audit-trail gap alone drove the switch after a compliance near-miss.
152,no_budget,battlecard,Budget-Cycle Timing Battlecard (variant 152),"What works: Ask which fiscal quarter budget resets, and offer a start-now-pay-later contract structure tied to their next budget cycle. Anchor to the cost of inaction over that gap."
