call_id,rep_id,stage,objection_type,deal_size,used_recommended_play,won,transcript_snippet
103,1,closing,need_more_features,13247.0,0,1,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
104,9,discovery,price_too_high,20399.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
105,14,negotiation,implementation_time_concern,7850.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
106,19,demo,implementation_time_concern,7233.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
107,18,closing,implementation_time_concern,22816.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
108,0,discovery,price_too_high,5919.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
109,16,closing,need_more_features,15094.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
110,18,demo,no_budget,16664.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
111,5,closing,not_a_priority_now,2117.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
112,14,negotiation,already_using_competitor,3512.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
113,17,closing,no_budget,1930.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
114,10,discovery,already_using_competitor,9273.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
115,12,closing,implementation_time_concern,2953.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
116,6,closing,already_using_competitor,6520.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
117,23,demo,no_budget,4044.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
118,2,discovery,security_compliance_concern,24510.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
119,22,demo,no_budget,7988.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
120,1,discovery,not_a_priority_now,8198.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
121,16,negotiation,need_stakeholder_buyin,28786.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
122,7,demo,need_more_features,1453.0,1,0,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
123,6,discovery,security_compliance_concern,4895.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
124,21,closing,security_compliance_concern,2048.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
125,24,discovery,not_a_priority_now,1039.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
126,7,demo,need_stakeholder_buyin,14609.0,1,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
127,12,negotiation,implementation_time_concern,10002.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
128,23,closing,no_budget,2761.0,1,0,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
129,19,demo,price_too_high,4739.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
130,13,closing,price_too_high,11214.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
131,1,demo,not_a_priority_now,11131.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
132,24,closing,implementation_time_concern,4302.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
133,9,demo,need_stakeholder_buyin,17213.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
134,16,negotiation,need_stakeholder_buyin,9817.0,0,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
135,17,discovery,already_using_competitor,4978.0,0,0,[Prospect]: objection raised re: already using competitor. [Rep]: improvised response.
136,5,discovery,no_budget,2855.0,1,0,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
137,16,discovery,not_a_priority_now,5955.0,0,1,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
138,10,discovery,need_more_features,1204.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
139,5,closing,already_using_competitor,16880.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
140,8,negotiation,need_more_features,2146.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
141,24,demo,security_compliance_concern,77146.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
142,22,discovery,security_compliance_concern,8995.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
143,1,demo,price_too_high,6631.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
144,22,closing,no_budget,7166.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
145,13,closing,no_budget,10877.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
146,7,negotiation,need_more_features,55561.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
147,0,closing,already_using_competitor,9936.0,0,0,[Prospect]: objection raised re: already using competitor. [Rep]: improvised response.
148,15,closing,already_using_competitor,1764.0,0,1,[Prospect]: objection raised re: already using competitor. [Rep]: improvised response.
149,14,closing,no_budget,36662.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
150,12,negotiation,not_a_priority_now,6795.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
151,13,discovery,implementation_time_concern,1612.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
152,17,discovery,security_compliance_concern,7602.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
153,18,closing,price_too_high,4169.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
154,23,negotiation,already_using_competitor,11958.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
155,16,demo,price_too_high,4400.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
156,4,closing,security_compliance_concern,4868.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
157,12,discovery,security_compliance_concern,12306.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
158,14,closing,need_more_features,3322.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
159,16,discovery,not_a_priority_now,12088.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
160,4,negotiation,price_too_high,1000.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
161,12,negotiation,security_compliance_concern,2920.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
162,1,negotiation,implementation_time_concern,7926.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
163,19,demo,already_using_competitor,7056.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
164,5,negotiation,need_stakeholder_buyin,5632.0,0,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
165,21,discovery,implementation_time_concern,6146.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
166,13,closing,need_more_features,19983.0,1,0,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
167,16,closing,already_using_competitor,18193.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
168,3,demo,already_using_competitor,4643.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
169,1,negotiation,need_stakeholder_buyin,10704.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
170,16,demo,already_using_competitor,37968.0,1,1,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
171,0,negotiation,no_budget,13496.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
172,11,demo,no_budget,2798.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
173,17,closing,implementation_time_concern,3374.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
174,14,demo,security_compliance_concern,17789.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
175,24,closing,not_a_priority_now,2296.0,0,0,[Prospect]: objection raised re: not a priority now. [Rep]: improvised response.
176,1,closing,security_compliance_concern,10559.0,0,1,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
177,19,demo,already_using_competitor,40051.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
178,4,discovery,no_budget,5821.0,0,1,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
179,6,negotiation,implementation_time_concern,16699.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
180,19,negotiation,need_more_features,3008.0,0,1,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
181,13,discovery,implementation_time_concern,4091.0,0,0,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
182,0,discovery,price_too_high,14635.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
183,23,negotiation,price_too_high,2332.0,1,0,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
184,6,demo,not_a_priority_now,11797.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
185,4,negotiation,security_compliance_concern,20724.0,0,1,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
186,16,demo,no_budget,4125.0,1,1,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
187,9,demo,no_budget,5439.0,1,0,[Prospect]: objection raised re: no budget. [Rep]: used recommended battlecard play.
188,6,closing,need_stakeholder_buyin,11029.0,0,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
189,21,discovery,already_using_competitor,9657.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
190,2,negotiation,security_compliance_concern,6155.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
191,3,negotiation,implementation_time_concern,17623.0,0,1,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
192,5,demo,implementation_time_concern,17078.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
193,21,closing,implementation_time_concern,46845.0,1,1,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
194,3,negotiation,need_stakeholder_buyin,17175.0,0,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
195,1,negotiation,price_too_high,5257.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
196,10,closing,price_too_high,3303.0,0,1,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
197,8,discovery,need_more_features,86548.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
198,16,discovery,no_budget,6717.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
199,18,discovery,price_too_high,9167.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
200,0,discovery,no_budget,59674.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
201,15,closing,no_budget,21832.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
202,18,negotiation,need_stakeholder_buyin,3940.0,0,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: improvised response.
203,6,demo,implementation_time_concern,25325.0,1,0,[Prospect]: objection raised re: implementation time concern. [Rep]: used recommended battlecard play.
204,20,demo,not_a_priority_now,7103.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
205,21,demo,already_using_competitor,2534.0,0,0,[Prospect]: objection raised re: already using competitor. [Rep]: improvised response.
206,19,demo,no_budget,4778.0,0,1,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
207,1,closing,price_too_high,1861.0,1,0,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
208,8,discovery,need_more_features,11549.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
209,10,negotiation,security_compliance_concern,4501.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
210,15,discovery,need_more_features,9601.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
211,16,negotiation,already_using_competitor,12181.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
212,1,discovery,not_a_priority_now,10836.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
213,22,closing,need_stakeholder_buyin,62148.0,1,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
214,12,negotiation,price_too_high,2959.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
215,23,negotiation,need_stakeholder_buyin,1365.0,1,1,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
216,2,negotiation,security_compliance_concern,4472.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
217,6,closing,already_using_competitor,3114.0,0,0,[Prospect]: objection raised re: already using competitor. [Rep]: improvised response.
218,5,discovery,price_too_high,20236.0,0,0,[Prospect]: objection raised re: price too high. [Rep]: improvised response.
219,24,closing,implementation_time_concern,17519.0,0,1,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
220,23,negotiation,price_too_high,5053.0,1,1,[Prospect]: objection raised re: price too high. [Rep]: used recommended battlecard play.
221,15,closing,implementation_time_concern,3949.0,0,1,[Prospect]: objection raised re: implementation time concern. [Rep]: improvised response.
222,18,closing,security_compliance_concern,3105.0,1,0,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
223,6,closing,need_more_features,15092.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
224,17,discovery,security_compliance_concern,3945.0,1,1,[Prospect]: objection raised re: security compliance concern. [Rep]: used recommended battlecard play.
225,20,discovery,need_stakeholder_buyin,6781.0,1,0,[Prospect]: objection raised re: need stakeholder buyin. [Rep]: used recommended battlecard play.
226,21,discovery,security_compliance_concern,15112.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
227,12,demo,not_a_priority_now,3212.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
228,13,negotiation,already_using_competitor,17648.0,1,0,[Prospect]: objection raised re: already using competitor. [Rep]: used recommended battlecard play.
229,4,demo,need_more_features,25973.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
230,2,closing,need_more_features,1258.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
231,19,demo,no_budget,44187.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
232,23,closing,not_a_priority_now,26042.0,1,1,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
233,21,demo,not_a_priority_now,17284.0,1,0,[Prospect]: objection raised re: not a priority now. [Rep]: used recommended battlecard play.
234,5,demo,security_compliance_concern,6515.0,0,0,[Prospect]: objection raised re: security compliance concern. [Rep]: improvised response.
235,17,demo,no_budget,4814.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
236,17,negotiation,need_more_features,18981.0,1,1,[Prospect]: objection raised re: need more features. [Rep]: used recommended battlecard play.
237,1,demo,need_more_features,41251.0,0,0,[Prospect]: objection raised re: need more features. [Rep]: improvised response.
238,22,negotiation,no_budget,4473.0,0,0,[Prospect]: objection raised re: no budget. [Rep]: improvised response.
